Env. Initial State,Org Initial State,Environment rule,Organism rule,Recurrence time,Attractor size,Env Attractor Size,Num unique states,Num. unique rules,Org State Recurrence,Org Rule Recurrence,Env Recurrence
130,12,35,58,22,16,16,7,19,22,21,18
12,13,35,58,65,64,16,12,17,65,18,16
46,4,35,58,20,16,16,6,19,20,19,18
36,15,35,58,17,16,16,2,17,17,16,16
184,6,35,58,19,16,16,4,19,19,18,18
220,0,106,58,22,15,15,2,18,22,21,17
107,12,106,58,24,15,15,8,16,24,23,15
118,3,106,58,19,15,15,5,18,19,18,17
127,5,106,58,16,15,15,3,16,16,15,15
243,8,3,58,18,16,16,4,17,18,17,16
138,13,3,58,66,64,16,12,18,66,19,17
71,2,3,58,66,64,16,12,18,66,19,17
32,0,3,58,17,16,16,2,17,17,16,16
231,7,3,58,20,16,16,6,17,20,19,16
79,11,27,58,19,16,16,5,18,19,18,17
167,5,27,58,18,16,16,3,18,18,17,17
84,11,27,58,20,16,16,5,18,20,19,17
128,4,27,58,17,16,16,3,17,17,16,16
203,12,27,58,20,16,16,6,19,20,19,18
42,11,27,58,21,16,16,5,18,21,20,17
59,4,27,58,25,16,16,9,19,25,24,18
31,5,43,58,16,8,8,4,9,16,15,8
31,3,43,58,16,8,8,6,9,16,15,8
14,3,43,58,20,8,8,9,9,20,19,8
76,3,184,58,17,8,8,8,10,13,16,9
197,11,7,58,25,16,16,6,18,18,24,17
248,1,7,58,65,64,16,12,17,65,18,16
232,6,170,58,18,8,8,9,8,18,17,8
176,1,15,58,18,8,8,7,9,18,17,8
154,11,42,58,19,8,8,9,9,19,18,8
227,1,162,58,19,8,8,10,11,19,18,10
157,4,162,58,16,8,8,8,10,16,15,9
212,10,6,58,16,8,8,3,9,16,15,8
152,4,6,58,19,16,4,8,7,19,8,6
139,9,138,58,19,8,8,9,10,19,18,9
156,4,10,58,23,8,8,10,10,23,22,9
222,14,74,58,16,8,8,7,14,16,15,13
59,1,74,58,30,24,24,7,25,30,29,24
